onset	duration	trial_type	value	sample	stimulus	is_word	response	correct
37.64	0.0	2Suff w/o Lat.	22	37640	marginally	1.0	0.0	False
38.832	0.0	0Suff w/o Lat.	2	38832	speed	1.0	0.0	False
39.799	0.0	0Suff NW	4	39799	vimid	0.0	1.0	False
40.707	0.0	0Suff w/o Lat.	2	40707	market	1.0	0.0	False
41.616	0.0	1Suff w/o Lat.	12	41616	aimless	1.0	0.0	False
42.716	0.0	0Suff NW	4	42716	arx	0.0	1.0	False
43.667	0.0	1Suff RealStemNW	15	43667	impressate	0.0	1.0	False
44.867	0.0	0Suff w/o Lat.	2	44867	music	1.0	0.0	False
45.784	0.0	2Suff RealStemNW	25	45784	cheerability	0.0	1.0	False
47.935	0.0	1Suff RealStemNW	15	47935	poetal	0.0	1.0	False
49.143	0.0	1Suff w/ Lat.	11	49143	predictable	1.0	0.0	False
50.185	0.0	2Suff w/o Lat.	22	50185	substantially	1.0	1.0	True
51.511	0.0	2Suff w/o Lat.	22	51511	painfully	1.0	0.0	False
52.636	0.0	0Suff NW	4	52636	hesa	0.0	1.0	False
53.57	0.0	1Suff w/ Lat.	11	53570	available	1.0	0.0	False
54.72	0.0	1Suff w/o Lat.	12	54720	glorious	1.0	0.0	False
55.712	0.0	0Suff NW	4	55712	deabon	0.0	1.0	False
56.687	0.0	0Suff NW	4	56687	esdybit	0.0	1.0	False
57.596	0.0	2Suff w/o Lat.	22	57596	persuasively	1.0	1.0	True
58.355	0.0	1Suff RealStemNW	15	58355	exhibitate	0.0	1.0	False
59.413	0.0	1Suff w/o Lat.	12	59413	validate	1.0	1.0	True
60.539	0.0	2Suff w/o Lat.	22	60539	poetical	1.0	1.0	True
61.147	0.0	1Suff w/o Lat.	12	61147	faithful	1.0	1.0	True
62.197	0.0	0Suff w/o Lat.	2	62197	moist	1.0	0.0	False
63.039	0.0	2Suff RealStemNW	25	63039	editerize	0.0	1.0	False
63.473	0.0	0Suff NW	4	63473	avold	0.0	1.0	False
63.981	0.0	1Suff w/o Lat.	12	63981	graceful	1.0	1.0	True
64.59	0.0	0Suff NW	4	64590	fars	0.0	1.0	False
65.365	0.0	2Suff PseudoStemNW	24	65365	chirdishness	0.0	1.0	False
66.54	0.0	2Suff RealStemNW	25	66540	relatifiable	0.0	1.0	False
67.749	0.0	2Suff RealStemNW	25	67749	fatical	0.0	1.0	False
68.191	0.0	0Suff NW	4	68191	detisms	0.0	1.0	False
68.616	0.0	2Suff PseudoStemNW	24	68616	utefully	0.0	1.0	False
69.158	0.0	1Suff RealStemNW	15	69158	gleeive	0.0	1.0	False
69.791	0.0	2Suff RealStemNW	25	69791	characterional	0.0	1.0	False
70.4	0.0	0Suff w/o Lat.	2	70400	function	1.0	0.0	False
71.05	0.0	0Suff w/o Lat.	2	71050	man	1.0	1.0	True
71.509	0.0	1Suff w/o Lat.	12	71509	seasonal	1.0	0.0	False
72.084	0.0	2Suff w/o Lat.	22	72084	timeliness	1.0	1.0	True
72.584	0.0	0Suff NW	4	72584	instrove	0.0	1.0	False
73.009	0.0	2Suff PseudoStemNW	24	73009	orifadator	0.0	1.0	False
73.676	0.0	2Suff w/o Lat.	22	73676	definitely	1.0	1.0	True
74.534	0.0	0Suff NW	4	74534	gloo	0.0	1.0	False
74.993	0.0	2Suff RealStemNW	25	74993	fatantly	0.0	1.0	False
75.435	0.0	1Suff w/o Lat.	12	75435	furious	1.0	1.0	True
76.293	0.0	2Suff Composite	23	76293	biblical	1.0	1.0	True
76.91	0.0	0Suff w/o Lat.	2	76910	reason	1.0	0.0	False
77.785	0.0	0Suff NW	4	77785	preguct	0.0	1.0	False
78.419	0.0	2Suff RealStemNW	25	78419	globical	0.0	1.0	False
78.978	0.0	0Suff w/o Lat.	2	78978	delight	1.0	1.0	True
79.511	0.0	2Suff PseudoStemNW	24	79511	worchlessness	0.0	1.0	False
79.961	0.0	2Suff Composite	23	79961	affectation	1.0	1.0	True
80.486	0.0	1Suff PseudoStemNW	14	80486	affaidative	0.0	0.0	True
81.387	0.0	0Suff w/ Lat.	1	81387	subject	1.0	1.0	True
81.945	0.0	2Suff PseudoStemNW	24	81945	nerbousness	0.0	0.0	True
82.862	0.0	2Suff w/o Lat.	22	82862	globally	1.0	0.0	False
83.621	0.0	0Suff w/o Lat.	2	83621	execute	1.0	1.0	True
84.396	0.0	1Suff w/o Lat.	12	84396	heroic	1.0	1.0	True
84.838	0.0	1Suff w/o Lat.	12	84838	healthy	1.0	1.0	True
85.346	0.0	0Suff w/o Lat.	2	85346	material	1.0	1.0	True
85.78	0.0	2Suff w/ Lat.	21	85780	progressively	1.0	1.0	True
86.205	0.0	0Suff w/o Lat.	2	86205	transit	1.0	1.0	True
86.73	0.0	1Suff RealStemNW	15	86730	provocatful	0.0	0.0	True
