onset	duration	trial_type	value	sample	stimulus	is_word	response	correct
87.693	0.0	2Suff w/o Lat.	22	87693	effortlessly	1.0	0.0	False
88.952	0.0	1Suff w/ Lat.	11	88952	conclusive	1.0	0.0	False
90.002	0.0	1Suff w/o Lat.	12	90002	industrial	1.0	0.0	False
90.952	0.0	1Suff w/o Lat.	12	90952	noticeable	1.0	0.0	False
91.952	0.0	1Suff w/o Lat.	12	91952	magical	1.0	0.0	False
93.028	0.0	1Suff RealStemNW	15	93028	fearive	0.0	1.0	False
94.278	0.0	1Suff w/o Lat.	12	94278	careless	1.0	0.0	False
95.128	0.0	2Suff w/o Lat.	22	95128	procedural	1.0	0.0	False
97.421	0.0	0Suff NW	4	97421	cheher	0.0	1.0	False
98.496	0.0	0Suff NW	4	98496	lecer	0.0	1.0	False
99.505	0.0	0Suff NW	4	99505	coatage	0.0	1.0	False
101.247	0.0	2Suff Composite	23	101247	sensation	1.0	0.0	False
102.281	0.0	0Suff w/ Lat.	1	102281	intend	1.0	0.0	False
103.339	0.0	0Suff w/o Lat.	2	103339	vaccine	1.0	0.0	False
104.331	0.0	2Suff w/o Lat.	22	104331	suitably	1.0	0.0	False
105.832	0.0	2Suff RealStemNW	25	105832	brutantly	0.0	1.0	False
107.399	0.0	1Suff w/o Lat.	12	107399	lovely	1.0	0.0	False
108.374	0.0	2Suff PseudoStemNW	24	108374	navounality	0.0	1.0	False
109.425	0.0	2Suff RealStemNW	25	109425	alterlessly	0.0	1.0	False
110.792	0.0	2Suff RealStemNW	25	110792	assertishness	0.0	1.0	False
112.626	0.0	2Suff w/o Lat.	22	112626	methodically	1.0	0.0	False
114.584	0.0	1Suff RealStemNW	15	114584	merciable	0.0	1.0	False
115.918	0.0	0Suff NW	4	115918	hett	0.0	1.0	False
116.977	0.0	1Suff RealStemNW	15	116977	perfectate	0.0	1.0	False
118.044	0.0	0Suff w/o Lat.	2	118044	virtue	1.0	0.0	False
119.553	0.0	1Suff RealStemNW	15	119553	comparatful	0.0	1.0	False
120.661	0.0	2Suff w/o Lat.	22	120661	endlessly	1.0	0.0	False
121.712	0.0	1Suff w/o Lat.	12	121712	existence	1.0	0.0	False
123.179	0.0	1Suff RealStemNW	15	123179	civilist	0.0	1.0	False
124.463	0.0	0Suff w/o Lat.	2	124463	just	1.0	0.0	False
125.513	0.0	2Suff PseudoStemNW	24	125513	trithfulness	0.0	1.0	False
126.838	0.0	0Suff NW	4	126838	excrode	0.0	1.0	False
127.83	0.0	2Suff w/o Lat.	22	127830	continuously	1.0	0.0	False
128.864	0.0	2Suff w/o Lat.	22	128864	mercifully	1.0	0.0	False
129.839	0.0	0Suff w/o Lat.	2	129839	haste	1.0	0.0	False
130.856	0.0	1Suff w/o Lat.	12	130856	signify	1.0	0.0	False
132.173	0.0	2Suff RealStemNW	25	132173	voyeurional	0.0	1.0	False
134.474	0.0	0Suff w/o Lat.	2	134474	self	1.0	0.0	False
135.516	0.0	1Suff RealStemNW	15	135516	effortable	0.0	1.0	False
136.783	0.0	0Suff w/o Lat.	2	136783	end	1.0	0.0	False
137.692	0.0	2Suff w/o Lat.	22	137692	existential	1.0	0.0	False
139.05	0.0	1Suff w/o Lat.	12	139050	fruitless	1.0	0.0	False
139.917	0.0	2Suff RealStemNW	25	139917	actional	0.0	1.0	False
141.159	0.0	0Suff NW	4	141159	seet	0.0	1.0	False
142.185	0.0	1Suff w/o Lat.	12	142185	joyous	1.0	1.0	True
143.118	0.0	0Suff w/o Lat.	2	143118	effort	1.0	0.0	False
144.452	0.0	0Suff NW	4	144452	perfall	0.0	1.0	False
145.611	0.0	1Suff PseudoStemNW	14	145611	cutfural	0.0	1.0	False
147.178	0.0	2Suff PseudoStemNW	24	147178	vetcination	0.0	n/a	False
149.579	0.0	0Suff NW	4	149579	freat	0.0	1.0	False
150.662	0.0	1Suff w/o Lat.	12	150662	tactical	1.0	0.0	False
151.896	0.0	2Suff RealStemNW	25	151896	hierarchally	0.0	n/a	False
154.297	0.0	1Suff RealStemNW	15	154297	relentable	0.0	1.0	False
156.347	0.0	0Suff NW	4	156347	pacic	0.0	1.0	False
157.373	0.0	1Suff w/o Lat.	12	157373	fortunate	1.0	0.0	False
158.523	0.0	1Suff w/o Lat.	12	158523	active	1.0	0.0	False
159.523	0.0	2Suff w/o Lat.	22	159523	usefulness	1.0	0.0	False
160.565	0.0	2Suff w/o Lat.	22	160565	modernistic	1.0	1.0	True
162.283	0.0	2Suff w/o Lat.	22	162283	modernization	1.0	0.0	False
163.808	0.0	2Suff PseudoStemNW	24	163808	kibsliness	0.0	1.0	False
