onset	duration	trial_type	value	sample	stimulus	is_word	response	correct
30.037	0.0	0Suff w/o Lat.	2	30037	wake	1.0	0.0	False
31.313	0.0	0Suff NW	4	31313	hesa	0.0	1.0	False
33.263	0.0	2Suff Composite	23	33263	stratification	1.0	0.0	False
35.022	0.0	2Suff PseudoStemNW	24	35022	deterfuristic	0.0	n/a	False
37.423	0.0	2Suff PseudoStemNW	24	37423	restittably	0.0	0.0	True
37.965	0.0	1Suff PseudoStemNW	14	37965	eseretion	0.0	1.0	False
39.357	0.0	2Suff PseudoStemNW	24	39357	worchlessness	0.0	0.0	True
41.333	0.0	1Suff w/o Lat.	12	41333	immunize	1.0	0.0	False
42.533	0.0	2Suff PseudoStemNW	24	42533	cunerogially	0.0	1.0	False
44.884	0.0	2Suff RealStemNW	25	44884	conceptuical	0.0	0.0	True
46.126	0.0	0Suff NW	4	46126	paffer	0.0	1.0	False
47.459	0.0	2Suff w/ Lat.	21	47459	instructional	1.0	0.0	False
48.768	0.0	1Suff w/o Lat.	12	48768	moisture	1.0	0.0	False
50.019	0.0	1Suff PseudoStemNW	14	50019	vimidate	0.0	1.0	False
51.744	0.0	2Suff PseudoStemNW	24	51744	eetwardly	0.0	1.0	False
52.994	0.0	2Suff PseudoStemNW	24	52994	stumialize	0.0	1.0	False
54.678	0.0	2Suff w/o Lat.	22	54678	sleepily	1.0	0.0	False
55.812	0.0	0Suff w/o Lat.	2	55812	faith	1.0	0.0	False
56.887	0.0	1Suff RealStemNW	15	56887	forgetive	0.0	1.0	False
58.613	0.0	2Suff Composite	23	58613	amplification	1.0	0.0	False
60.405	0.0	0Suff NW	4	60405	snought	0.0	0.0	True
62.581	0.0	2Suff Composite	23	62581	vexation	1.0	0.0	False
63.864	0.0	1Suff w/o Lat.	12	63864	hopeless	1.0	0.0	False
64.931	0.0	1Suff w/o Lat.	12	64931	wakeful	1.0	0.0	False
65.965	0.0	2Suff RealStemNW	25	65965	awively	0.0	1.0	False
67.257	0.0	1Suff w/o Lat.	12	67257	dramatic	1.0	0.0	False
68.474	0.0	0Suff NW	4	68474	mistile	0.0	1.0	False
69.816	0.0	2Suff PseudoStemNW	24	69816	cidlical	0.0	1.0	False
71.108	0.0	0Suff NW	4	71108	chansot	0.0	1.0	False
72.459	0.0	2Suff PseudoStemNW	24	72459	posicarization	0.0	1.0	False
73.751	0.0	1Suff w/o Lat.	12	73751	considerable	1.0	0.0	False
75.035	0.0	2Suff RealStemNW	25	75035	polioner	0.0	1.0	False
76.252	0.0	2Suff w/o Lat.	22	76252	editorship	1.0	1.0	True
