onset	duration	trial_type	value	sample	stimulus	is_word	response	correct
49.553	0.0	1Suff w/o Lat.	12	49553	existence	1.0	1.0	True
50.962	0.0	1Suff w/o Lat.	12	50962	mournful	1.0	1.0	True
52.262	0.0	0Suff w/o Lat.	2	52262	spirit	1.0	1.0	True
53.229	0.0	1Suff PseudoStemNW	14	53229	indlidstive	0.0		False
55.622	0.0	0Suff w/o Lat.	2	55622	admire	1.0	1.0	True
56.614	0.0	0Suff NW	4	56614	combere	0.0		False
59.014	0.0	2Suff RealStemNW	25	59014	expansishness	0.0	1.0	False
60.523	0.0	2Suff w/o Lat.	22	60523	comfortably	1.0	1.0	True
62.324	0.0	2Suff PseudoStemNW	24	62324	coyimally	0.0		False
64.724	0.0	0Suff NW	4	64724	arbub	0.0		False
67.125	0.0	2Suff w/o Lat.	22	67125	carefully	1.0		False
69.526	0.0	0Suff w/o Lat.	2	69526	kind	1.0	1.0	True
70.835	0.0	1Suff w/ Lat.	11	70835	expression	1.0	1.0	True
71.902	0.0	2Suff PseudoStemNW	24	71902	mourdfully	0.0		False
74.311	0.0	2Suff RealStemNW	25	74311	causional	0.0		False
76.703	0.0	2Suff RealStemNW	25	76703	embarkfully	0.0		False
79.104	0.0	2Suff RealStemNW	25	79104	brokiness	0.0		False
81.505	0.0	2Suff w/o Lat.	22	81505	procedural	1.0	1.0	True
82.68	0.0	2Suff Composite	23	82680	orientation	1.0	1.0	True
83.822	0.0	2Suff Composite	23	83822	penalization	1.0	1.0	True
84.947	0.0	0Suff w/o Lat.	2	84947	passion	1.0	1.0	True
85.906	0.0	1Suff w/o Lat.	12	85906	procedure	1.0	1.0	True
86.865	0.0	2Suff w/o Lat.	22	86865	spiritually	1.0	1.0	True
87.84	0.0	0Suff NW	4	87840	cutfure	0.0		False
90.249	0.0	2Suff w/o Lat.	22	90249	kindliness	1.0		False
92.641	0.0	2Suff Composite	23	92641	quizzical	1.0	1.0	True
