onset	duration	trial_type	value	sample	stimulus	is_word	response	correct
32.021	0.0	1Suff PseudoStemNW	14	32021	wrotify	0.0	1.0	False
33.046	0.0	0Suff w/o Lat.	2	33046	material	1.0	0.0	False
33.98	0.0	0Suff w/o Lat.	2	33980	man	1.0	0.0	False
34.88	0.0	2Suff RealStemNW	25	34880	affirmatfully	0.0	1.0	False
35.956	0.0	0Suff w/ Lat.	1	35956	instruct	1.0	0.0	False
36.964	0.0	1Suff PseudoStemNW	14	36964	hodeful	0.0	1.0	False
37.998	0.0	2Suff w/o Lat.	22	37998	relationship	1.0	0.0	False
38.956	0.0	2Suff w/o Lat.	22	38956	financially	1.0	0.0	False
40.207	0.0	2Suff RealStemNW	25	40207	impressliness	0.0	0.0	True
41.307	0.0	2Suff w/o Lat.	22	41307	regrettably	1.0	0.0	False
42.107	0.0	0Suff w/o Lat.	2	42107	thank	1.0	0.0	False
42.899	0.0	1Suff w/o Lat.	12	42899	addition	1.0	0.0	False
43.766	0.0	2Suff PseudoStemNW	24	43766	cossetitively	0.0	1.0	False
44.825	0.0	2Suff w/o Lat.	22	44825	educational	1.0	0.0	False
45.767	0.0	0Suff w/o Lat.	2	45767	edit	1.0	0.0	False
46.642	0.0	2Suff PseudoStemNW	24	46642	ictressionism	0.0	1.0	False
47.642	0.0	2Suff PseudoStemNW	24	47642	utelessness	0.0	1.0	False
48.659	0.0	2Suff PseudoStemNW	24	48659	peadership	0.0	1.0	False
49.793	0.0	1Suff PseudoStemNW	14	49793	rumical	0.0	1.0	False
50.735	0.0	1Suff PseudoStemNW	14	50735	distawksive	0.0	1.0	False
51.76	0.0	1Suff w/o Lat.	12	51760	reasonable	1.0	0.0	False
52.744	0.0	0Suff NW	4	52744	uspasion	0.0	1.0	False
53.686	0.0	0Suff NW	4	53686	nole	0.0	1.0	False
54.703	0.0	1Suff PseudoStemNW	14	54703	etilor	0.0	1.0	False
55.678	0.0	2Suff w/o Lat.	22	55678	soulfully	1.0	0.0	False
56.787	0.0	0Suff w/ Lat.	1	56787	concept	1.0	0.0	False
57.804	0.0	0Suff NW	4	57804	worch	0.0	1.0	False
58.796	0.0	2Suff PseudoStemNW	24	58796	mosimization	0.0	1.0	False
59.771	0.0	1Suff RealStemNW	15	59771	architectian	0.0	0.0	True
60.938	0.0	1Suff RealStemNW	15	60938	childory	0.0	1.0	False
62.147	0.0	1Suff PseudoStemNW	14	62147	fleepy	0.0	1.0	False
