onset	duration	trial_type	value	sample	stimulus	is_word	response	correct
29.587	0.0	1Suff w/o Lat.	12	29587	sharpen	1.0	0.0	False
30.696	0.0	1Suff PseudoStemNW	14	30696	jokous	0.0	1.0	False
31.813	0.0	1Suff w/o Lat.	12	31813	senseless	1.0	0.0	False
32.922	0.0	0Suff NW	4	32922	abadill	0.0	1.0	False
34.08	0.0	2Suff RealStemNW	25	34080	signmentive	0.0	1.0	False
35.356	0.0	0Suff w/o Lat.	2	35356	magic	1.0	0.0	False
36.273	0.0	1Suff w/o Lat.	12	36273	active	1.0	0.0	False
37.298	0.0	2Suff w/o Lat.	22	37298	regionally	1.0	1.0	True
38.565	0.0	0Suff NW	4	38565	atstart	0.0	1.0	False
39.824	0.0	2Suff RealStemNW	25	39824	nationantly	0.0	1.0	False
41.216	0.0	0Suff NW	4	41216	ind	0.0	1.0	False
42.3	0.0	2Suff RealStemNW	25	42300	stylional	0.0	1.0	False
43.558	0.0	2Suff PseudoStemNW	24	43558	murpilessly	0.0	1.0	False
44.884	0.0	2Suff w/o Lat.	22	44884	falsification	1.0	1.0	True
46.559	0.0	1Suff w/o Lat.	12	46559	classic	1.0	0.0	False
47.576	0.0	1Suff PseudoStemNW	14	47576	indless	0.0	1.0	False
48.902	0.0	1Suff w/o Lat.	12	48902	modernist	1.0	0.0	False
50.519	0.0	2Suff Composite	23	50519	penalization	1.0	1.0	True
52.528	0.0	2Suff PseudoStemNW	24	52528	murpifully	0.0	1.0	False
54.086	0.0	2Suff PseudoStemNW	24	54086	excrodively	0.0	1.0	False
55.57	0.0	1Suff RealStemNW	15	55570	fearive	0.0	1.0	False
56.971	0.0	2Suff w/ Lat.	21	56971	effectiveness	1.0	0.0	False
58.571	0.0	0Suff w/o Lat.	2	58571	clinic	1.0	0.0	False
59.638	0.0	2Suff w/ Lat.	21	59638	inspirational	1.0	0.0	False
61.064	0.0	1Suff PseudoStemNW	14	61064	obwertion	0.0	1.0	False
62.347	0.0	2Suff w/ Lat.	21	62347	perfectionism	1.0	0.0	False
63.889	0.0	0Suff w/o Lat.	2	63889	expand	1.0	0.0	False
64.965	0.0	0Suff w/o Lat.	2	64965	region	1.0	0.0	False
65.94	0.0	2Suff PseudoStemNW	24	65940	eschessionist	0.0	1.0	False
67.766	0.0	2Suff PseudoStemNW	24	67766	pipsonalize	0.0	1.0	False
69.158	0.0	2Suff RealStemNW	25	69158	fooliveness	0.0	1.0	False
70.967	0.0	2Suff w/ Lat.	21	70967	exclusively	1.0	0.0	False
72.0	0.0	0Suff NW	4	72000	rinch	0.0	0.0	True
73.242	0.0	2Suff Composite	23	73242	farcical	1.0	1.0	True
75.276	0.0	2Suff Composite	23	75276	classification	1.0	0.0	False
76.377	0.0	1Suff w/ Lat.	11	76377	explosive	1.0	0.0	False
77.527	0.0	1Suff w/o Lat.	12	77527	selective	1.0	0.0	False
78.711	0.0	2Suff RealStemNW	25	78711	couragliness	0.0		False
81.12	0.0	0Suff w/o Lat.	2	81120	noise	1.0	0.0	False
82.462	0.0	0Suff NW	4	82462	provace	0.0	1.0	False
83.837	0.0	2Suff PseudoStemNW	24	83837	sothodically	0.0	1.0	False
85.304	0.0	2Suff PseudoStemNW	24	85304	flivituality	0.0	1.0	False
86.788	0.0	2Suff RealStemNW	25	86788	penalilessly	0.0	0.0	True
88.614	0.0	2Suff Composite	23	88614	paradoxical	1.0	0.0	False
90.398	0.0	0Suff w/o Lat.	2	90398	symbol	1.0	0.0	False
91.481	0.0	2Suff RealStemNW	25	91481	intentality	0.0	0.0	True
92.773	0.0	0Suff NW	4	92773	lurtile	0.0	1.0	False
93.957	0.0	0Suff w/ Lat.	1	93957	object	1.0	0.0	False
94.882	0.0	2Suff PseudoStemNW	24	94882	melidification	0.0	1.0	False
96.366	0.0	2Suff Composite	23	96366	valuation	1.0	1.0	True
97.617	0.0	1Suff w/o Lat.	12	97617	secondary	1.0	0.0	False
98.925	0.0	0Suff NW	4	98925	omlic	0.0	1.0	False
100.009	0.0	2Suff w/o Lat.	22	100009	truthfulness	1.0	0.0	False
101.576	0.0	0Suff NW	4	101576	trith	0.0	1.0	False
102.718	0.0	2Suff RealStemNW	25	102718	victimilessly	0.0	0.0	True
104.719	0.0	1Suff w/ Lat.	11	104719	presumable	1.0	0.0	False
106.236	0.0	2Suff Composite	23	106236	limitation	1.0	0.0	False
107.328	0.0	0Suff w/o Lat.	2	107328	person	1.0	0.0	False
108.47	0.0	0Suff NW	4	108470	cronition	0.0	1.0	False
109.92	0.0	0Suff NW	4	109920	effern	0.0	1.0	False
111.079	0.0	1Suff w/o Lat.	12	111079	selfish	1.0	0.0	False
112.104	0.0	1Suff w/o Lat.	12	112104	assertive	1.0	0.0	False
113.296	0.0	0Suff NW	4	113296	nolave	0.0	1.0	False
114.438	0.0	1Suff w/o Lat.	12	114438	owner	1.0	0.0	False
115.372	0.0	2Suff w/o Lat.	22	115372	justifiable	1.0	0.0	False
116.522	0.0	2Suff Composite	23	116522	solidification	1.0	0.0	False
117.923	0.0	1Suff RealStemNW	15	117923	virtance	0.0	1.0	False
119.148	0.0	2Suff RealStemNW	25	119148	commerceantly	0.0	1.0	False
120.824	0.0	1Suff w/o Lat.	12	120824	merciful	1.0	0.0	False
121.941	0.0	1Suff w/ Lat.	11	121941	provision	1.0	0.0	False
123.124	0.0	0Suff NW	4	123124	pums	0.0	1.0	False
124.3	0.0	1Suff PseudoStemNW	14	124300	brukal	0.0	1.0	False
125.458	0.0	2Suff w/o Lat.	22	125458	righteousness	1.0	0.0	False
126.901	0.0	2Suff RealStemNW	25	126901	nullifilessly	0.0	1.0	False
128.476	0.0	2Suff PseudoStemNW	24	128476	conspodively	0.0	1.0	False
130.043	0.0	0Suff NW	4	130043	clade	0.0	1.0	False
131.152	0.0	1Suff w/o Lat.	12	131152	comfortable	1.0	0.0	False
132.236	0.0	2Suff RealStemNW	25	132236	unifilessly	0.0	1.0	False
133.928	0.0	2Suff PseudoStemNW	24	133928	colliffively	0.0	1.0	False
