onset	duration	trial_type	value	sample	stimulus	is_word	response	correct
50.474	0.0	2Suff w/o Lat.	22	50474	cyclical	1.0	0.0	False
51.591	0.0	0Suff w/o Lat.	2	51591	vary	1.0	0.0	False
52.475	0.0	1Suff w/o Lat.	12	52475	masterful	1.0	0.0	False
53.359	0.0	0Suff w/o Lat.	2	53359	need	1.0	0.0	False
54.226	0.0	2Suff RealStemNW	25	54226	prophetionist	0.0	1.0	False
55.668	0.0	0Suff NW	4	55668	lecer	0.0	1.0	False
56.685	0.0	1Suff RealStemNW	15	56685	falsant	0.0	1.0	False
57.677	0.0	2Suff w/o Lat.	22	57677	sharpener	1.0	0.0	False
58.56	0.0	1Suff PseudoStemNW	14	58560	seetable	0.0	1.0	False
59.794	0.0	2Suff Composite	23	59794	quizzical	1.0	0.0	False
60.919	0.0	2Suff w/o Lat.	22	60919	joyfully	1.0	0.0	False
62.02	0.0	0Suff NW	4	62020	brole	0.0	1.0	False
63.153	0.0	2Suff PseudoStemNW	24	63153	pipsonally	0.0	1.0	False
64.279	0.0	2Suff PseudoStemNW	24	64279	flivitually	0.0	1.0	False
65.246	0.0	0Suff w/o Lat.	2	65246	proceed	1.0	0.0	False
66.096	0.0	2Suff PseudoStemNW	24	66096	cladsification	0.0	1.0	False
67.413	0.0	2Suff PseudoStemNW	24	67413	arbumentative	0.0	1.0	False
68.413	0.0	1Suff w/ Lat.	11	68413	explosive	1.0	0.0	False
69.355	0.0	2Suff PseudoStemNW	24	69355	movectization	0.0	1.0	False
70.372	0.0	1Suff RealStemNW	15	70372	nationic	0.0	1.0	False
71.531	0.0	0Suff w/ Lat.	1	71531	object	1.0	0.0	False
72.339	0.0	1Suff RealStemNW	15	72339	flexless	0.0	1.0	False
73.973	0.0	0Suff w/o Lat.	2	73973	tire	1.0	0.0	False
74.949	0.0	1Suff PseudoStemNW	14	74949	movectize	0.0	1.0	False
76.066	0.0	1Suff PseudoStemNW	14	76066	mymbolic	0.0	1.0	False
77.208	0.0	2Suff PseudoStemNW	24	77208	eschessionist	0.0	1.0	False
78.225	0.0	1Suff RealStemNW	15	78225	comparatful	0.0	1.0	False
80.3	0.0	2Suff RealStemNW	25	80300	masterively	0.0	1.0	False
81.626	0.0	1Suff w/o Lat.	12	81626	careful	1.0	0.0	False
