onset	duration	trial_type	value	sample	stimulus	is_word	response	correct
48.989	0.0	0Suff w/o Lat.	2	48989	add	1.0	0.0	False
50.098	0.0	2Suff w/o Lat.	22	50098	outwardly	1.0	1.0	True
51.848	0.0	1Suff RealStemNW	15	51848	financeic	0.0	1.0	False
53.148	0.0	2Suff w/ Lat.	21	53148	conceptualize	1.0	0.0	False
54.682	0.0	0Suff w/o Lat.	2	54682	thought	1.0	0.0	False
55.708	0.0	2Suff w/o Lat.	22	55708	awfulness	1.0	1.0	True
57.433	0.0	0Suff NW	4	57433	tuty	0.0	1.0	False
58.859	0.0	1Suff PseudoStemNW	14	58859	betiecable	0.0	1.0	False
60.592	0.0	2Suff PseudoStemNW	24	60592	denboderation	0.0	1.0	False
62.493	0.0	0Suff w/o Lat.	2	62493	origin	1.0	0.0	False
63.985	0.0	2Suff w/o Lat.	22	63985	logically	1.0	0.0	False
65.102	0.0	1Suff PseudoStemNW	14	65102	affaidative	0.0	1.0	False
66.478	0.0	0Suff NW	4	66478	concoler	0.0	1.0	False
68.537	0.0	0Suff w/o Lat.	2	68537	part	1.0	0.0	False
69.504	0.0	2Suff w/o Lat.	22	69504	executioner	1.0	0.0	False
70.787	0.0	0Suff w/o Lat.	2	70787	aim	1.0	0.0	False
71.904	0.0	0Suff w/ Lat.	1	71904	project	1.0	0.0	False
73.055	0.0	2Suff PseudoStemNW	24	73055	peadership	0.0	1.0	False
74.655	0.0	2Suff w/o Lat.	22	74655	deadliness	1.0	0.0	False
75.83	0.0	1Suff w/o Lat.	12	75830	sleepy	1.0	0.0	False
76.764	0.0	2Suff RealStemNW	25	76764	notifilessly	0.0	1.0	False
78.123	0.0	2Suff w/o Lat.	22	78123	gloriously	1.0	0.0	False
79.273	0.0	2Suff RealStemNW	25	79273	ailistic	0.0	1.0	False
81.132	0.0	2Suff PseudoStemNW	24	81132	instrovtional	0.0	0.0	True
83.024	0.0	1Suff PseudoStemNW	14	83024	prodfessive	0.0	1.0	False
84.45	0.0	2Suff PseudoStemNW	24	84450	nerbousness	0.0	1.0	False
86.284	0.0	0Suff NW	4	86284	chird	0.0	0.0	True
87.834	0.0	2Suff w/o Lat.	22	87834	childishly	1.0	0.0	False
88.935	0.0	2Suff RealStemNW	25	88935	vitalilessly	0.0		False
91.335	0.0	1Suff PseudoStemNW	14	91335	arful	0.0	1.0	False
93.202	0.0	0Suff NW	4	93202	tipe	0.0		False
95.595	0.0	2Suff Composite	23	95595	deterministic	1.0	0.0	False
97.654	0.0	1Suff w/o Lat.	12	97654	thicken	1.0		False
100.055	0.0	1Suff w/o Lat.	12	100055	harmless	1.0	0.0	False
101.405	0.0	0Suff NW	4	101405	orifad	0.0	1.0	False
102.914	0.0	2Suff PseudoStemNW	24	102914	tipeliness	0.0		False
105.315	0.0	1Suff PseudoStemNW	14	105315	etilor	0.0	1.0	False
106.89	0.0	2Suff RealStemNW	25	106890	harmiously	0.0	1.0	False
108.991	0.0	0Suff w/o Lat.	2	108991	wake	1.0	0.0	False
110.099	0.0	2Suff PseudoStemNW	24	110099	imoatization	0.0	1.0	False
111.441	0.0	2Suff PseudoStemNW	24	111441	falality	0.0		False
113.834	0.0	2Suff RealStemNW	25	113834	hopeively	0.0	1.0	False
115.384	0.0	1Suff PseudoStemNW	14	115384	distawksive	0.0	1.0	False
116.86	0.0	0Suff NW	4	116860	paffer	0.0	1.0	False
119.152	0.0	1Suff RealStemNW	15	119152	extensful	0.0	0.0	True
121.386	0.0	2Suff RealStemNW	25	121386	cheerability	0.0	0.0	True
123.228	0.0	2Suff RealStemNW	25	123228	moistantly	0.0	1.0	False
125.221	0.0	2Suff PseudoStemNW	24	125221	onnensively	0.0		False
127.63	0.0	1Suff w/o Lat.	12	127630	considerate	1.0	0.0	False
129.914	0.0	1Suff PseudoStemNW	14	129914	grameful	0.0	1.0	False
131.239	0.0	0Suff NW	4	131239	moel	0.0	1.0	False
132.448	0.0	1Suff RealStemNW	15	132448	peaceive	0.0	1.0	False
