onset	duration	trial_type	value	sample	stimulus	is_word	response	correct
78.722	0.0	0Suff NW	4	78722	etil	0.0	1.0	False
80.281	0.0	1Suff PseudoStemNW	14	80281	chotintical	0.0	1.0	False
82.14	0.0	0Suff NW	4	82140	imoat	0.0	1.0	False
83.766	0.0	0Suff w/ Lat.	1	83766	affirm	1.0	0.0	False
84.966	0.0	1Suff RealStemNW	15	84966	gracance	0.0	1.0	False
87.058	0.0	0Suff w/o Lat.	2	87058	architect	1.0	0.0	False
88.659	0.0	0Suff w/o Lat.	2	88659	pain	1.0	0.0	False
89.851	0.0	1Suff RealStemNW	15	89851	painable	0.0	1.0	False
92.093	0.0	1Suff w/o Lat.	12	92093	commentate	1.0	0.0	False
93.394	0.0	2Suff w/o Lat.	22	93394	thankfulness	1.0	0.0	False
94.602	0.0	2Suff w/o Lat.	22	94602	exhaustively	1.0	0.0	False
95.986	0.0	1Suff PseudoStemNW	14	95986	tipely	0.0	1.0	False
97.945	0.0	1Suff w/o Lat.	12	97945	development	1.0	0.0	False
99.004	0.0	0Suff NW	4	99004	betiece	0.0	1.0	False
100.938	0.0	0Suff NW	4	100938	glibe	0.0	1.0	False
103.172	0.0	1Suff w/o Lat.	12	103172	isolation	1.0	0.0	False
104.222	0.0	0Suff w/o Lat.	2	104222	delight	1.0	0.0	False
105.397	0.0	2Suff w/ Lat.	21	105397	progressively	1.0	0.0	False
106.789	0.0	0Suff w/ Lat.	1	106789	persist	1.0	0.0	False
108.023	0.0	0Suff w/o Lat.	2	108023	globe	1.0	0.0	False
109.215	0.0	2Suff w/o Lat.	22	109215	occasionally	1.0	0.0	False
110.249	0.0	2Suff PseudoStemNW	24	110249	falumfilly	0.0	1.0	False
111.983	0.0	0Suff NW	4	111983	pote	0.0	1.0	False
113.792	0.0	2Suff RealStemNW	25	113792	glorliness	0.0	1.0	False
115.817	0.0	1Suff PseudoStemNW	14	115817	farsen	0.0	1.0	False
117.693	0.0	2Suff PseudoStemNW	24	117693	reratively	0.0		False
120.085	0.0	1Suff w/ Lat.	11	120085	affection	1.0	0.0	False
121.344	0.0	2Suff RealStemNW	25	121344	categorally	0.0	0.0	True
122.428	0.0	1Suff PseudoStemNW	14	122428	snightful	0.0	1.0	False
124.22	0.0	0Suff w/o Lat.	2	124220	govern	1.0	0.0	False
125.387	0.0	1Suff RealStemNW	15	125387	directar	0.0	1.0	False
127.146	0.0	1Suff w/o Lat.	12	127146	friendly	1.0	0.0	False
128.213	0.0	2Suff PseudoStemNW	24	128213	cunerogially	0.0	1.0	False
130.105	0.0	2Suff w/o Lat.	22	130105	governmental	1.0	0.0	False
131.214	0.0	1Suff PseudoStemNW	14	131214	goulty	0.0		False
133.614	0.0	0Suff NW	4	133614	restit	0.0	1.0	False
135.44	0.0	2Suff RealStemNW	25	135440	affectorship	0.0		False
137.841	0.0	2Suff PseudoStemNW	24	137841	thashfulness	0.0		False
140.25	0.0	0Suff w/o Lat.	2	140250	market	1.0	0.0	False
141.375	0.0	1Suff PseudoStemNW	14	141375	appigental	0.0	1.0	False
143.484	0.0	1Suff w/o Lat.	12	143484	polar	1.0	0.0	False
144.609	0.0	1Suff PseudoStemNW	14	144609	cunerogial	0.0	1.0	False
146.677	0.0	1Suff w/o Lat.	12	146677	guardian	1.0	0.0	False
148.019	0.0	0Suff w/o Lat.	2	148019	profit	1.0	0.0	False
149.286	0.0	0Suff NW	4	149286	hode	0.0	1.0	False
151.203	0.0	2Suff w/o Lat.	22	151203	speedily	1.0	0.0	False
152.454	0.0	1Suff w/ Lat.	11	152454	persistent	1.0	0.0	False
153.854	0.0	1Suff RealStemNW	15	153854	heroal	0.0	1.0	False
155.263	0.0	2Suff w/o Lat.	22	155263	guardianship	1.0	0.0	False
156.897	0.0	1Suff PseudoStemNW	14	156897	nolify	0.0	1.0	False
158.364	0.0	0Suff w/o Lat.	2	158364	aim	1.0	0.0	False
159.914	0.0	0Suff w/o Lat.	2	159914	statistic	1.0	0.0	False
161.515	0.0	1Suff w/o Lat.	12	161515	gleeful	1.0	0.0	False
163.474	0.0	2Suff PseudoStemNW	24	163474	adstification	0.0	1.0	False
165.249	0.0	2Suff PseudoStemNW	24	165249	stumialize	0.0	1.0	False
167.642	0.0	0Suff NW	4	167642	lenction	0.0	1.0	False
169.692	0.0	2Suff w/o Lat.	22	169692	musically	1.0	0.0	False
171.509	0.0	2Suff w/o Lat.	22	171509	stealthily	1.0	0.0	False
173.052	0.0	2Suff w/o Lat.	22	173052	logically	1.0	0.0	False
174.102	0.0	2Suff w/o Lat.	22	174102	polarize	1.0	0.0	False
175.344	0.0	2Suff PseudoStemNW	24	175344	denboderation	0.0	1.0	False
177.22	0.0	0Suff NW	4	177220	cunerogy	0.0		False
179.62	0.0	1Suff w/o Lat.	12	179620	speedy	1.0	0.0	False
181.271	0.0	0Suff w/ Lat.	1	181271	affect	1.0	0.0	False
182.371	0.0	0Suff NW	4	182371	eserete	0.0	1.0	False
184.113	0.0	2Suff RealStemNW	25	184113	assassinfully	0.0	1.0	False
185.939	0.0	0Suff w/o Lat.	2	185939	provoke	1.0	0.0	False
187.056	0.0	0Suff NW	4	187056	faulm	0.0	1.0	False
188.923	0.0	1Suff PseudoStemNW	14	188923	arful	0.0	1.0	False
190.457	0.0	1Suff PseudoStemNW	14	190457	degorate	0.0	1.0	False
192.666	0.0	2Suff w/o Lat.	22	192666	thickener	1.0	0.0	False
194.333	0.0	0Suff w/o Lat.	2	194333	essence	1.0	0.0	False
195.45	0.0	0Suff NW	4	195450	snight	0.0		False
197.859	0.0	0Suff NW	4	197859	coppent	0.0		False
200.26	0.0	1Suff PseudoStemNW	14	200260	essoilial	0.0	1.0	False
201.752	0.0	1Suff w/o Lat.	12	201752	dramatic	1.0	0.0	False
202.827	0.0	2Suff PseudoStemNW	24	202827	artlitackural	0.0	1.0	False
204.936	0.0	0Suff NW	4	204936	arx	0.0		False
207.337	0.0	2Suff w/o Lat.	22	207337	hopelessness	1.0	0.0	False
208.529	0.0	0Suff NW	4	208529	paft	0.0	1.0	False
210.421	0.0	1Suff w/o Lat.	12	210421	fatal	1.0	0.0	False
211.505	0.0	0Suff w/o Lat.	2	211505	soul	1.0	0.0	False
212.555	0.0	0Suff NW	4	212555	devade	0.0	0.0	True
214.206	0.0	0Suff w/o Lat.	2	214206	fright	1.0	0.0	False
215.631	0.0	2Suff w/o Lat.	22	215631	substantially	1.0	0.0	False
216.907	0.0	1Suff w/o Lat.	12	216907	painless	1.0	0.0	False
218.115	0.0	0Suff NW	4	218115	ewsib	0.0	1.0	False
219.733	0.0	0Suff NW	4	219733	urmer	0.0	1.0	False
221.333	0.0	1Suff PseudoStemNW	14	221333	falumful	0.0	1.0	False
223.442	0.0	1Suff PseudoStemNW	14	223442	dehonite	0.0	1.0	False
