onset	duration	trial_type	value	sample	stimulus	is_word	response	correct
39.201	0.0	2Suff RealStemNW	25	39201	flexfulness	0.0	1.0	False
41.11	0.0	0Suff NW	4	41110	sedule	0.0	1.0	False
42.527	0.0	0Suff NW	4	42527	styke	0.0	1.0	False
43.444	0.0	2Suff w/ Lat.	21	43444	expressionism	1.0	0.0	False
45.586	0.0	1Suff RealStemNW	15	45586	kinden	0.0	1.0	False
46.762	0.0	0Suff NW	4	46762	movect	0.0	1.0	False
47.895	0.0	0Suff w/o Lat.	2	47895	joy	1.0	0.0	False
48.904	0.0	1Suff PseudoStemNW	14	48904	arbument	0.0	1.0	False
50.013	0.0	0Suff w/o Lat.	2	50013	suit	1.0	0.0	False
51.013	0.0	2Suff w/o Lat.	22	51013	wonderfully	1.0	0.0	False
52.18	0.0	2Suff PseudoStemNW	24	52180	pipsonalize	0.0	1.0	False
53.422	0.0	2Suff w/o Lat.	22	53422	attentively	1.0	0.0	False
54.923	0.0	0Suff w/ Lat.	1	54923	explode	1.0	0.0	False
56.806	0.0	1Suff w/o Lat.	12	56806	sharpen	1.0	0.0	False
57.723	0.0	1Suff PseudoStemNW	14	57723	ceantless	0.0	1.0	False
58.89	0.0	2Suff w/o Lat.	22	58890	excellently	1.0	0.0	False
59.757	0.0	2Suff PseudoStemNW	24	59757	cutfurally	0.0	0.0	True
60.683	0.0	1Suff w/o Lat.	12	60683	artist	1.0	0.0	False
61.6	0.0	0Suff w/o Lat.	2	61600	attend	1.0	0.0	False
62.508	0.0	2Suff w/o Lat.	22	62508	computerize	1.0	1.0	True
63.617	0.0	2Suff w/o Lat.	22	63617	significant	1.0	0.0	False
64.926	0.0	0Suff w/o Lat.	2	64926	symbol	1.0	0.0	False
65.801	0.0	2Suff RealStemNW	25	65801	hastery	0.0	1.0	False
66.943	0.0	2Suff Composite	23	66943	ordination	1.0	0.0	False
68.152	0.0	2Suff Composite	23	68152	annexation	1.0	0.0	False
70.119	0.0	2Suff Composite	23	70119	solipsistic	1.0	1.0	True
71.319	0.0	0Suff NW	4	71319	excrode	0.0	1.0	False
72.486	0.0	1Suff RealStemNW	15	72486	assertful	0.0	0.0	True
73.662	0.0	1Suff w/o Lat.	12	73662	clinical	1.0	0.0	False
74.629	0.0	2Suff Composite	23	74629	identical	1.0	0.0	False
75.629	0.0	2Suff w/o Lat.	22	75629	comfortably	1.0	0.0	False
76.604	0.0	2Suff w/o Lat.	22	76604	creatively	1.0	0.0	False
77.513	0.0	0Suff w/o Lat.	2	77513	wonder	1.0	0.0	False
78.488	0.0	2Suff PseudoStemNW	24	78488	foffification	0.0	1.0	False
79.755	0.0	1Suff PseudoStemNW	14	79755	atstartive	0.0	1.0	False
80.814	0.0	1Suff RealStemNW	15	80814	perfectate	0.0	1.0	False
82.94	0.0	0Suff NW	4	82940	healt	0.0	1.0	False
84.548	0.0	2Suff w/o Lat.	22	84548	secondarily	1.0	0.0	False
86.741	0.0	1Suff w/o Lat.	12	86741	civilize	1.0	n/a	False
89.141	0.0	2Suff RealStemNW	25	89141	respectfully	0.0	0.0	True
90.208	0.0	2Suff RealStemNW	25	90208	breathiously	0.0	1.0	False
91.367	0.0	2Suff RealStemNW	25	91367	excellalism	0.0	1.0	False
92.926	0.0	1Suff PseudoStemNW	14	92926	pipsonal	0.0	1.0	False
93.885	0.0	2Suff PseudoStemNW	24	93885	perfallionism	0.0	1.0	False
95.26	0.0	1Suff PseudoStemNW	14	95260	broler	0.0	1.0	False
96.169	0.0	0Suff NW	4	96169	atstart	0.0	1.0	False
97.061	0.0	2Suff RealStemNW	25	97061	industriantly	0.0	1.0	False
98.228	0.0	1Suff PseudoStemNW	14	98228	lokely	0.0	1.0	False
99.211	0.0	2Suff RealStemNW	25	99211	objectfully	0.0	0.0	True
100.503	0.0	0Suff w/o Lat.	2	100503	effort	1.0	0.0	False
101.612	0.0	0Suff NW	4	101612	faice	0.0	1.0	False
102.612	0.0	1Suff PseudoStemNW	14	102612	londly	0.0	1.0	False
103.671	0.0	2Suff PseudoStemNW	24	103671	lurtilizer	0.0	1.0	False
104.821	0.0	2Suff PseudoStemNW	24	104821	navounalism	0.0	1.0	False
105.888	0.0	2Suff RealStemNW	25	105888	admirical	0.0	1.0	False
107.13	0.0	0Suff NW	4	107130	exfapt	0.0	1.0	False
108.039	0.0	2Suff PseudoStemNW	24	108039	shactener	0.0	1.0	False
108.948	0.0	2Suff w/o Lat.	22	108948	falsification	1.0	0.0	False
110.223	0.0	1Suff RealStemNW	15	110223	falsant	0.0	1.0	False
111.415	0.0	2Suff PseudoStemNW	24	111415	pipsonally	0.0	1.0	False
112.424	0.0	0Suff NW	4	112424	hunen	0.0	1.0	False
113.307	0.0	2Suff Composite	23	113307	sensation	1.0	0.0	False
114.366	0.0	2Suff w/o Lat.	22	114366	brokerage	1.0	1.0	True
