onset	duration	trial_type	value	sample	stimulus	is_word	response	correct
37.576	0.0	2Suff w/o Lat.	22	37576	masterfully	1.0	0.0	False
38.693	0.0	1Suff w/o Lat.	12	38693	lovely	1.0	0.0	False
39.535	0.0	1Suff w/o Lat.	12	39535	continuous	1.0	1.0	True
41.602	0.0	2Suff PseudoStemNW	24	41602	flivitually	0.0	0.0	True
43.186	0.0	2Suff w/o Lat.	22	43186	spiritualize	1.0	0.0	False
44.203	0.0	1Suff RealStemNW	15	44203	conductful	0.0	0.0	True
45.229	0.0	2Suff w/o Lat.	22	45229	effortlessly	1.0	0.0	False
46.146	0.0	1Suff PseudoStemNW	14	46146	allendive	0.0	1.0	False
47.329	0.0	2Suff RealStemNW	25	47329	assertishness	0.0	1.0	False
49.213	0.0	1Suff RealStemNW	15	49213	helpive	0.0	1.0	False
50.397	0.0	2Suff w/o Lat.	22	50397	luckily	1.0	0.0	False
51.439	0.0	0Suff w/o Lat.	2	51439	fool	1.0	0.0	False
52.522	0.0	1Suff w/ Lat.	11	52522	exclusive	1.0	0.0	False
53.606	0.0	2Suff RealStemNW	25	53606	whimsally	0.0	1.0	False
55.157	0.0	0Suff w/o Lat.	2	55157	wonder	1.0	0.0	False
56.149	0.0	2Suff w/o Lat.	22	56149	momentarily	1.0	0.0	False
57.291	0.0	2Suff w/ Lat.	21	57291	objectively	1.0	0.0	False
58.316	0.0	2Suff RealStemNW	25	58316	creatously	0.0	1.0	False
59.733	0.0	2Suff RealStemNW	25	59733	civilability	0.0	0.0	True
61.242	0.0	0Suff NW	4	61242	jok	0.0	1.0	False
62.526	0.0	2Suff PseudoStemNW	24	62526	trithfully	0.0	1.0	False
63.868	0.0	2Suff PseudoStemNW	24	63868	navounalism	0.0	1.0	False
65.001	0.0	2Suff w/o Lat.	22	65001	clinically	1.0	0.0	False
66.435	0.0	2Suff w/ Lat.	21	66435	exclusively	1.0	0.0	False
67.477	0.0	1Suff w/ Lat.	11	67477	presumable	1.0	0.0	False
68.636	0.0	2Suff w/o Lat.	22	68636	significant	1.0	0.0	False
69.761	0.0	0Suff w/o Lat.	2	69761	victim	1.0	0.0	False
70.686	0.0	1Suff RealStemNW	15	70686	mournive	0.0	1.0	False
72.078	0.0	2Suff PseudoStemNW	24	72078	abadilionist	0.0	1.0	False
73.154	0.0	1Suff w/o Lat.	12	73154	cyclic	1.0	0.0	False
74.296	0.0	1Suff w/ Lat.	11	74296	objective	1.0	0.0	False
75.304	0.0	2Suff w/ Lat.	21	75304	intentional	1.0	0.0	False
76.33	0.0	2Suff w/ Lat.	21	76330	exclusiveness	1.0	0.0	False
77.338	0.0	1Suff w/o Lat.	12	77338	artful	1.0	0.0	False
78.339	0.0	2Suff PseudoStemNW	24	78339	darberously	0.0	1.0	False
79.489	0.0	2Suff RealStemNW	25	79489	embarkfully	0.0	1.0	False
80.948	0.0	2Suff w/o Lat.	22	80948	excellently	1.0	0.0	False
81.99	0.0	0Suff w/o Lat.	2	81990	industry	1.0	0.0	False
83.015	0.0	2Suff PseudoStemNW	24	83015	moolurably	0.0	1.0	False
84.074	0.0	1Suff w/o Lat.	12	84074	mournful	1.0	0.0	False
85.124	0.0	0Suff w/o Lat.	2	85124	right	1.0	0.0	False
