onset	duration	trial_type	value	sample	stimulus	is_word	response	correct
48.378	0.0	1Suff RealStemNW	15	48378	drunkor	0.0	1.0	False
49.562	0.0	2Suff PseudoStemNW	24	49562	trithfully	0.0	1.0	False
50.754	0.0	0Suff NW	4	50754	faice	0.0	0.0	True
52.062	0.0	2Suff w/o Lat.	22	52062	culturally	1.0	0.0	False
53.746	0.0	2Suff Composite	23	53746	whimsical	1.0	1.0	True
54.922	0.0	0Suff NW	4	54922	inglinite	0.0	1.0	False
56.68	0.0	0Suff NW	4	56680	pimer	0.0	1.0	False
58.256	0.0	2Suff PseudoStemNW	24	58256	cronitionally	0.0	1.0	False
60.273	0.0	2Suff RealStemNW	25	60273	selfiousness	0.0	n/a	False
62.674	0.0	2Suff RealStemNW	25	62674	feverality	0.0	1.0	False
64.349	0.0	1Suff PseudoStemNW	14	64349	moolurable	0.0	1.0	False
65.733	0.0	1Suff RealStemNW	15	65733	tacticic	0.0	1.0	False
67.275	0.0	2Suff RealStemNW	25	67275	explosfully	0.0	1.0	False
68.759	0.0	2Suff PseudoStemNW	24	68759	darberously	0.0	1.0	False
70.301	0.0	1Suff PseudoStemNW	14	70301	coyimal	0.0	1.0	False
71.527	0.0	1Suff PseudoStemNW	14	71527	mymbolic	0.0	0.0	True
72.752	0.0	0Suff w/o Lat.	2	72752	method	1.0	0.0	False
73.752	0.0	1Suff PseudoStemNW	14	73752	omlical	0.0	0.0	True
75.128	0.0	2Suff PseudoStemNW	24	75128	foffification	0.0	0.0	True
76.92	0.0	2Suff PseudoStemNW	24	76920	atstartively	0.0	1.0	False
78.504	0.0	2Suff w/o Lat.	22	78504	causality	1.0	0.0	False
79.537	0.0	0Suff w/o Lat.	2	79537	vary	1.0	0.0	False
80.521	0.0	0Suff w/o Lat.	2	80521	industry	1.0	0.0	False
81.555	0.0	2Suff RealStemNW	25	81555	actfully	0.0	0.0	True
82.872	0.0	0Suff NW	4	82872	hunen	0.0	1.0	False
84.081	0.0	2Suff Composite	23	84081	solipsistic	1.0	1.0	True
85.314	0.0	2Suff w/o Lat.	22	85314	modernization	1.0	0.0	False
86.365	0.0	1Suff RealStemNW	15	86365	provisate	0.0	1.0	False
87.498	0.0	2Suff RealStemNW	25	87498	farcally	0.0	1.0	False
88.682	0.0	0Suff NW	4	88682	hett	0.0	1.0	False
89.632	0.0	1Suff RealStemNW	15	89632	creatful	0.0	1.0	False
91.124	0.0	1Suff w/o Lat.	12	91124	measurable	1.0	0.0	False
92.141	0.0	0Suff NW	4	92141	retend	0.0	1.0	False
93.625	0.0	1Suff w/o Lat.	12	93625	wonderful	1.0	0.0	False
94.584	0.0	2Suff w/o Lat.	22	94584	flexibility	1.0	0.0	False
95.542	0.0	1Suff w/o Lat.	12	95542	legalize	1.0	0.0	False
96.593	0.0	0Suff w/o Lat.	2	96593	spirit	1.0	0.0	False
97.526	0.0	2Suff w/ Lat.	21	97526	conductivity	1.0	0.0	False
98.693	0.0	2Suff w/o Lat.	22	98693	momentarily	1.0	1.0	True
99.952	0.0	2Suff RealStemNW	25	99952	commerceional	0.0	1.0	False
101.453	0.0	1Suff PseudoStemNW	14	101453	hainy	0.0	1.0	False
103.253	0.0	1Suff PseudoStemNW	14	103253	crerical	0.0	1.0	False
104.52	0.0	2Suff w/o Lat.	22	104520	instinctively	1.0	0.0	False
105.662	0.0	2Suff RealStemNW	25	105662	whimsally	0.0	1.0	False
107.221	0.0	2Suff RealStemNW	25	107221	hierarchally	0.0	n/a	False
109.622	0.0	0Suff NW	4	109622	slex	0.0	1.0	False
110.789	0.0	2Suff w/o Lat.	22	110789	computerize	1.0	0.0	False
111.939	0.0	2Suff RealStemNW	25	111939	attentfully	0.0	1.0	False
113.273	0.0	2Suff RealStemNW	25	113273	artional	0.0	0.0	True
114.582	0.0	1Suff w/ Lat.	11	114582	inspiration	1.0	0.0	False
115.532	0.0	1Suff PseudoStemNW	14	115532	ewilsence	0.0	1.0	False
116.566	0.0	2Suff RealStemNW	25	116566	voyeurional	0.0	1.0	False
117.491	0.0	2Suff PseudoStemNW	24	117491	abadilionist	0.0	0.0	True
118.624	0.0	0Suff w/ Lat.	1	118624	explode	1.0	0.0	False
119.666	0.0	2Suff w/o Lat.	22	119666	feverishly	1.0	0.0	False
121.059	0.0	2Suff w/o Lat.	22	121059	sensibly	1.0	0.0	False
122.284	0.0	0Suff w/ Lat.	1	122284	effect	1.0	0.0	False
123.226	0.0	2Suff Composite	23	123226	classification	1.0	0.0	False
124.168	0.0	0Suff NW	4	124168	moolure	0.0	1.0	False
125.327	0.0	0Suff w/ Lat.	1	125327	except	1.0	0.0	False
126.294	0.0	0Suff w/o Lat.	2	126294	culture	1.0	1.0	True
127.411	0.0	2Suff w/o Lat.	22	127411	sensibility	1.0	0.0	False
128.728	0.0	2Suff Composite	23	128728	maturation	1.0	0.0	False
130.145	0.0	0Suff w/o Lat.	2	130145	fortune	1.0	0.0	False
131.162	0.0	2Suff PseudoStemNW	24	131162	pipsonally	0.0	1.0	False
132.42	0.0	2Suff PseudoStemNW	24	132420	shactener	0.0	1.0	False
133.471	0.0	0Suff w/o Lat.	2	133471	second	1.0	0.0	False
134.379	0.0	2Suff w/o Lat.	22	134379	dreadfully	1.0	0.0	False
135.788	0.0	2Suff RealStemNW	25	135788	admirical	0.0	1.0	False
137.322	0.0	1Suff w/o Lat.	12	137322	comical	1.0	0.0	False
138.831	0.0	2Suff w/o Lat.	22	138831	foolishness	1.0	0.0	False
140.039	0.0	1Suff RealStemNW	15	140039	feverory	0.0	1.0	False
141.256	0.0	0Suff w/o Lat.	2	141256	greed	1.0	0.0	False
142.29	0.0	1Suff PseudoStemNW	14	142290	gunderful	0.0	1.0	False
143.432	0.0	2Suff w/o Lat.	22	143432	existential	1.0	0.0	False
144.824	0.0	0Suff NW	4	144824	contitum	0.0	1.0	False
145.933	0.0	2Suff w/o Lat.	22	145933	attentively	1.0	0.0	False
146.942	0.0	1Suff w/o Lat.	12	146942	national	1.0	0.0	False
148.009	0.0	0Suff w/o Lat.	2	148009	cycle	1.0	0.0	False
148.909	0.0	1Suff w/o Lat.	12	148909	foolish	1.0	0.0	False
149.801	0.0	1Suff PseudoStemNW	14	149801	indless	0.0	1.0	False
150.968	0.0	0Suff w/o Lat.	2	150968	end	1.0	0.0	False
151.876	0.0	2Suff w/ Lat.	21	151876	conclusively	1.0	0.0	False
152.952	0.0	0Suff w/o Lat.	2	152952	lust	1.0	0.0	False
153.885	0.0	0Suff NW	4	153885	arp	0.0	1.0	False
155.027	0.0	1Suff w/o Lat.	12	155027	creative	1.0	0.0	False
155.944	0.0	1Suff RealStemNW	15	155944	selectful	0.0	0.0	True
156.886	0.0	1Suff w/o Lat.	12	156886	instinctive	1.0	0.0	False
157.937	0.0	0Suff NW	4	157937	healt	0.0	1.0	False
159.062	0.0	1Suff PseudoStemNW	14	159062	expredive	0.0	1.0	False
160.162	0.0	0Suff w/o Lat.	2	160162	broke	1.0	0.0	False
161.163	0.0	0Suff NW	4	161163	cutfure	0.0	1.0	False
162.338	0.0	2Suff PseudoStemNW	24	162338	efforniveness	0.0	1.0	False
163.638	0.0	1Suff w/o Lat.	12	163638	various	1.0	0.0	False
164.622	0.0	1Suff RealStemNW	15	164622	careive	0.0	1.0	False
165.814	0.0	2Suff PseudoStemNW	24	165814	comburation	0.0	1.0	False
167.214	0.0	2Suff w/o Lat.	22	167214	uselessly	1.0	1.0	True
169.548	0.0	0Suff NW	4	169548	lecer	0.0	1.0	False
171.491	0.0	1Suff w/o Lat.	12	171491	regional	1.0	0.0	False
172.524	0.0	2Suff w/o Lat.	22	172524	civilization	1.0	0.0	False
173.483	0.0	2Suff w/o Lat.	22	173483	justifiable	1.0	0.0	False
174.633	0.0	0Suff w/o Lat.	2	174633	drunk	1.0	0.0	False
175.517	0.0	1Suff PseudoStemNW	14	175517	desterful	0.0	1.0	False
176.684	0.0	0Suff NW	4	176684	gunder	0.0	1.0	False
178.034	0.0	2Suff Composite	23	178034	limitation	1.0	0.0	False
179.06	0.0	0Suff NW	4	179060	adnise	0.0	1.0	False
180.385	0.0	2Suff PseudoStemNW	24	180385	ewilsential	0.0	1.0	False
181.586	0.0	1Suff PseudoStemNW	14	181586	janiable	0.0	1.0	False
183.469	0.0	1Suff RealStemNW	15	183469	admirless	0.0	1.0	False
185.295	0.0	0Suff w/o Lat.	2	185295	collect	1.0	0.0	False
186.287	0.0	0Suff w/o Lat.	2	186287	comic	1.0	0.0	False
187.396	0.0	0Suff NW	4	187396	pipson	0.0	1.0	False
188.554	0.0	2Suff w/o Lat.	22	188554	heroically	1.0	n/a	False
190.963	0.0	1Suff RealStemNW	15	190963	composian	0.0	1.0	False
192.105	0.0	0Suff NW	4	192105	orn	0.0	1.0	False
193.122	0.0	1Suff w/o Lat.	12	193122	falsify	1.0	0.0	False
194.173	0.0	2Suff PseudoStemNW	24	194173	spippery	0.0	1.0	False
195.19	0.0	0Suff NW	4	195190	vetcine	0.0	1.0	False
196.257	0.0	2Suff RealStemNW	25	196257	commerceantly	0.0	1.0	False
200.425	0.0	0Suff NW	4	200425	exprede	0.0	1.0	False
201.583	0.0	2Suff w/o Lat.	22	201583	prophetically	1.0	1.0	True
203.692	0.0	2Suff w/o Lat.	22	203692	nationalist	1.0	0.0	False
204.959	0.0	1Suff PseudoStemNW	14	204959	traphetic	0.0	1.0	False
206.176	0.0	0Suff w/o Lat.	2	206176	legal	1.0	0.0	False
207.218	0.0	2Suff w/ Lat.	21	207218	objectively	1.0	0.0	False
208.302	0.0	1Suff w/o Lat.	12	208302	spiritual	1.0	0.0	False
209.352	0.0	0Suff NW	4	209352	shact	0.0	1.0	False
210.486	0.0	2Suff w/o Lat.	22	210486	herbalist	1.0	0.0	False
211.845	0.0	1Suff w/o Lat.	12	211845	truthful	1.0	0.0	False
212.787	0.0	0Suff NW	4	212787	conspode	0.0	1.0	False
214.004	0.0	2Suff w/o Lat.	22	214004	assertiveness	1.0	1.0	True
215.288	0.0	0Suff w/o Lat.	2	215288	admire	1.0	0.0	False
216.338	0.0	1Suff w/o Lat.	12	216338	optical	1.0	0.0	False
217.238	0.0	0Suff NW	4	217238	coatage	0.0	1.0	False
218.355	0.0	1Suff w/o Lat.	12	218355	commercial	1.0	0.0	False
219.28	0.0	0Suff w/o Lat.	2	219280	need	1.0	0.0	False
