onset	duration	trial_type	value	sample	stimulus	is_word	response	correct
48.047	0.0	2Suff w/o Lat.	22	48047	delightfully	1.0	0.0	False
50.214	0.0	2Suff w/o Lat.	22	50214	decisiveness	1.0	0.0	False
51.415	0.0	2Suff RealStemNW	25	51415	subjectously	0.0		False
53.815	0.0	0Suff w/o Lat.	2	53815	man	1.0	0.0	False
55.149	0.0	1Suff RealStemNW	15	55149	deadic	0.0	1.0	False
56.583	0.0	0Suff w/o Lat.	2	56583	govern	1.0	0.0	False
57.766	0.0	2Suff PseudoStemNW	24	57766	imoatization	0.0	1.0	False
59.592	0.0	0Suff w/o Lat.	2	59592	note	1.0	0.0	False
60.609	0.0	2Suff RealStemNW	25	60609	moistantly	0.0	1.0	False
62.66	0.0	2Suff RealStemNW	25	62660	marginical	0.0	0.0	True
63.943	0.0	0Suff w/o Lat.	2	63943	peace	1.0	0.0	False
65.21	0.0	2Suff PseudoStemNW	24	65210	nerbousness	0.0	1.0	False
66.661	0.0	2Suff Composite	23	66661	amplification	1.0	0.0	False
68.236	0.0	1Suff PseudoStemNW	14	68236	appigental	0.0	1.0	False
70.029	0.0	2Suff Composite	23	70029	biblical	1.0	0.0	False
71.304	0.0	1Suff RealStemNW	15	71304	gleeive	0.0	1.0	False
72.646	0.0	2Suff w/o Lat.	22	72646	essentially	1.0	0.0	False
73.863	0.0	1Suff w/o Lat.	12	73863	materialist	1.0	0.0	False
75.914	0.0	2Suff Composite	23	75914	mechanistic	1.0		False
78.314	0.0	1Suff w/o Lat.	12	78314	assassinate	1.0	0.0	False
79.673	0.0	1Suff w/o Lat.	12	79673	easy	1.0	0.0	False
80.824	0.0	2Suff RealStemNW	25	80824	agreeally	0.0	1.0	False
82.166	0.0	2Suff RealStemNW	25	82166	considerishly	0.0	0.0	True
83.416	0.0	0Suff NW	4	83416	glibe	0.0	1.0	False
84.991	0.0	2Suff PseudoStemNW	24	84991	rhylphically	0.0	1.0	False
86.559	0.0	0Suff w/o Lat.	2	86559	decide	1.0	0.0	False
87.584	0.0	0Suff w/o Lat.	2	87584	child	1.0	0.0	False
88.559	0.0	0Suff w/o Lat.	2	88559	add	1.0	0.0	False
89.426	0.0	2Suff w/ Lat.	21	89426	subjectivity	1.0	0.0	False
90.652	0.0	1Suff PseudoStemNW	14	90652	degorate	0.0	1.0	False
92.41	0.0	2Suff w/ Lat.	21	92410	predictably	1.0	0.0	False
94.094	0.0	2Suff w/o Lat.	22	94094	fastener	1.0	0.0	False
95.17	0.0	2Suff RealStemNW	25	95170	futurional	0.0	1.0	False
96.487	0.0	0Suff NW	4	96487	paft	0.0	1.0	False
97.779	0.0	0Suff NW	4	97779	pavediad	0.0	1.0	False
98.912	0.0	0Suff w/ Lat.	1	98912	progress	1.0	0.0	False
100.004	0.0	2Suff w/o Lat.	22	100004	usefully	1.0	0.0	False
101.088	0.0	1Suff PseudoStemNW	14	101088	uteless	0.0	1.0	False
102.222	0.0	1Suff PseudoStemNW	14	102222	stumial	0.0	1.0	False
103.539	0.0	0Suff w/o Lat.	2	103539	material	1.0	0.0	False
104.614	0.0	0Suff NW	4	104614	han	0.0	1.0	False
105.823	0.0	2Suff w/o Lat.	22	105823	fatality	1.0	0.0	False
107.265	0.0	2Suff w/o Lat.	22	107265	fatalist	1.0	0.0	False
108.507	0.0	0Suff w/o Lat.	2	108507	music	1.0	0.0	False
109.691	0.0	2Suff w/ Lat.	21	109691	impressionist	1.0	0.0	False
110.841	0.0	1Suff w/o Lat.	12	110841	dramatize	1.0	0.0	False
111.908	0.0	2Suff w/o Lat.	22	111908	adaptability	1.0	0.0	False
113.425	0.0	2Suff RealStemNW	25	113425	graceively	0.0	1.0	False
115.001	0.0	2Suff RealStemNW	25	115001	orderionist	0.0	1.0	False
116.535	0.0	1Suff w/o Lat.	12	116535	competitive	1.0	0.0	False
117.677	0.0	2Suff PseudoStemNW	24	117677	degorative	0.0	0.0	True
118.969	0.0	1Suff w/o Lat.	12	118969	designate	1.0	0.0	False
120.277	0.0	0Suff NW	4	120277	esdybit	0.0	1.0	False
121.369	0.0	1Suff w/o Lat.	12	121369	protection	1.0	0.0	False
122.278	0.0	0Suff NW	4	122278	moel	0.0	1.0	False
123.312	0.0	0Suff w/o Lat.	2	123312	guilt	1.0	0.0	False
124.154	0.0	1Suff PseudoStemNW	14	124154	hodeful	0.0	1.0	False
125.246	0.0	2Suff RealStemNW	25	125246	fatalize	0.0	0.0	True
126.138	0.0	0Suff w/o Lat.	2	126138	margin	1.0	0.0	False
127.23	0.0	0Suff NW	4	127230	steadth	0.0	1.0	False
128.73	0.0	0Suff NW	4	128730	thiend	0.0	1.0	False
129.914	0.0	2Suff RealStemNW	25	129914	hopeively	0.0	1.0	False
131.047	0.0	2Suff PseudoStemNW	24	131047	chierfully	0.0	1.0	False
132.581	0.0	1Suff PseudoStemNW	14	132581	lenctional	0.0	1.0	False
133.648	0.0	1Suff RealStemNW	15	133648	familior	0.0	1.0	False
134.94	0.0	2Suff w/o Lat.	22	134940	glorification	1.0	0.0	False
136.291	0.0	2Suff PseudoStemNW	24	136291	posicarization	0.0	1.0	False
137.699	0.0	2Suff w/o Lat.	22	137699	hopelessness	1.0	0.0	False
139.742	0.0	1Suff RealStemNW	15	139742	polit	0.0	1.0	False
140.9	0.0	1Suff PseudoStemNW	14	140900	nolable	0.0	1.0	False
142.134	0.0	1Suff PseudoStemNW	14	142134	urmerly	0.0	1.0	False
143.168	0.0	1Suff w/o Lat.	12	143168	soulful	1.0	0.0	False
144.735	0.0	1Suff RealStemNW	15	144735	magnetal	0.0	1.0	False
146.811	0.0	2Suff RealStemNW	25	146811	persistalism	0.0	1.0	False
148.086	0.0	2Suff w/o Lat.	22	148086	relativism	1.0	0.0	False
149.27	0.0	0Suff w/ Lat.	1	149270	avail	1.0	0.0	False
150.437	0.0	0Suff w/o Lat.	2	150437	harm	1.0	0.0	False
151.345	0.0	2Suff PseudoStemNW	24	151345	otification	0.0	1.0	False
152.937	0.0	1Suff RealStemNW	15	152937	gracance	0.0	1.0	False
154.088	0.0	1Suff w/o Lat.	12	154088	immunize	1.0	0.0	False
155.38	0.0	0Suff NW	4	155380	pead	0.0	1.0	False
156.914	0.0	2Suff w/o Lat.	22	156914	decorator	1.0	0.0	False
158.089	0.0	0Suff w/o Lat.	2	158089	worth	1.0	0.0	False
159.181	0.0	1Suff PseudoStemNW	14	159181	essoilial	0.0	1.0	False
160.44	0.0	1Suff PseudoStemNW	14	160440	fleedy	0.0	1.0	False
161.807	0.0	0Suff w/o Lat.	2	161807	globe	1.0	0.0	False
162.89	0.0	2Suff PseudoStemNW	24	162890	perburbation	0.0	1.0	False
163.966	0.0	2Suff RealStemNW	25	163966	forgetiveness	0.0	0.0	True
165.616	0.0	2Suff PseudoStemNW	24	165616	uspasionally	0.0	1.0	False
166.9	0.0	2Suff PseudoStemNW	24	166900	sorkener	0.0	1.0	False
168.025	0.0	2Suff RealStemNW	25	168025	persuasfully	0.0	1.0	False
169.418	0.0	1Suff PseudoStemNW	14	169418	priueurant	0.0	1.0	False
170.418	0.0	2Suff RealStemNW	25	170418	revitalilessly	0.0	0.0	True
171.843	0.0	1Suff RealStemNW	15	171843	furance	0.0	0.0	True
173.927	0.0	0Suff NW	4	173927	thash	0.0	1.0	False
175.511	0.0	0Suff w/o Lat.	2	175511	speed	1.0	0.0	False
176.861	0.0	2Suff RealStemNW	25	176861	impressliness	0.0	1.0	False
179.104	0.0	1Suff w/o Lat.	12	179104	forgetful	1.0	0.0	False
180.404	0.0	1Suff PseudoStemNW	14	180404	eetward	0.0	1.0	False
181.455	0.0	2Suff w/ Lat.	21	181455	subjectively	1.0	0.0	False
182.472	0.0	0Suff NW	4	182472	restit	0.0	1.0	False
183.497	0.0	1Suff w/ Lat.	11	183497	instruction	1.0	0.0	False
184.439	0.0	0Suff w/o Lat.	2	184439	intense	1.0	0.0	False
185.472	0.0	2Suff PseudoStemNW	24	185472	banically	0.0	1.0	False
186.589	0.0	1Suff PseudoStemNW	14	186589	reration	0.0	1.0	False
187.681	0.0	2Suff RealStemNW	25	187681	differalism	0.0	1.0	False
188.832	0.0	2Suff Composite	23	188832	utilization	1.0	0.0	False
189.882	0.0	2Suff w/o Lat.	22	189882	racially	1.0	0.0	False
190.907	0.0	0Suff NW	4	190907	betiece	0.0	1.0	False
192.016	0.0	1Suff RealStemNW	15	192016	thoughtive	0.0	0.0	True
193.058	0.0	1Suff w/o Lat.	12	193058	furious	1.0	0.0	False
194.092	0.0	0Suff w/o Lat.	2	194092	pole	1.0	0.0	False
195.109	0.0	1Suff w/o Lat.	12	195109	peaceful	1.0	0.0	False
195.976	0.0	2Suff w/o Lat.	22	195976	originality	1.0	0.0	False
196.909	0.0	1Suff PseudoStemNW	14	196909	chierful	0.0	1.0	False
197.976	0.0	2Suff PseudoStemNW	24	197976	pasnetically	0.0	1.0	False
199.235	0.0	2Suff PseudoStemNW	24	199235	deterfuristic	0.0	1.0	False
200.385	0.0	2Suff PseudoStemNW	24	200385	inshemmation	0.0	1.0	False
201.727	0.0	1Suff w/o Lat.	12	201727	guilty	1.0	0.0	False
206.754	0.0	2Suff w/o Lat.	22	206754	triviality	1.0	0.0	False
208.521	0.0	1Suff PseudoStemNW	14	208521	betiecable	0.0	1.0	False
209.68	0.0	1Suff w/o Lat.	12	209680	profitable	1.0	0.0	False
210.797	0.0	1Suff w/o Lat.	12	210797	graceful	1.0	0.0	False
211.739	0.0	2Suff PseudoStemNW	24	211739	paftiality	0.0	1.0	False
213.039	0.0	1Suff PseudoStemNW	14	213039	nolify	0.0	1.0	False
214.473	0.0	0Suff w/o Lat.	2	214473	fright	1.0	0.0	False
215.924	0.0	2Suff w/o Lat.	22	215924	relativity	1.0	0.0	False
217.182	0.0	0Suff NW	4	217182	nole	0.0	1.0	False
218.483	0.0	2Suff PseudoStemNW	24	218483	mosimization	0.0	1.0	False
219.875	0.0	2Suff PseudoStemNW	24	219875	avoldability	0.0	1.0	False
221.659	0.0	0Suff w/o Lat.	2	221659	market	1.0	0.0	False
222.692	0.0	2Suff w/o Lat.	22	222692	marketability	1.0	0.0	False
223.951	0.0	0Suff NW	4	223951	coul	0.0	1.0	False
224.993	0.0	1Suff w/ Lat.	11	224993	exhibition	1.0	0.0	False
225.935	0.0	0Suff w/o Lat.	2	225935	grace	1.0	0.0	False
227.027	0.0	2Suff Composite	23	227027	perturbation	1.0	0.0	False
228.244	0.0	2Suff RealStemNW	25	228244	educatality	0.0	1.0	False
229.536	0.0	2Suff PseudoStemNW	24	229536	gloofully	0.0	1.0	False
230.678	0.0	0Suff NW	4	230678	halk	0.0	1.0	False
